channel,score
Ch42,1.0
Ch9,0.7778572816519401
Ch62,0.742985871331865
Ch10,0.7347562279401193
Ch1,0.7232097280593239
Ch11,0.6963707234988121
Ch19,0.687234034593083
Ch2,0.6814292960231703
Ch60,0.6638491712938366
Ch27,0.6582315602369924
Ch59,0.6523789012861876
Ch46,0.6421821765208756
Ch47,0.6240484943521193
Ch54,0.622309595510819
Ch45,0.6156908159600673
Ch55,0.6063531141132847
Ch51,0.5955647946608866
Ch50,0.5909593006517875
Ch18,0.588801043471289
Ch56,0.5828153801985091
Ch5,0.5818311990836562
Ch28,0.5817373697619205
Ch17,0.5792626777047045
Ch15,0.5757803699006097
Ch58,0.5736012469209776
Ch57,0.5639194941438126
Ch61,0.5625561994053965
Ch6,0.5619812852144822
Ch40,0.5604465884062555
Ch53,0.5549161843955759
Ch21,0.5530447772359731
Ch20,0.541266434438671
Ch7,0.5408974191938882
Ch8,0.5343767581036082
Ch43,0.5299074718588229
Ch12,0.5285947957861358
Ch13,0.5257130700758017
Ch31,0.5219962143978065
Ch29,0.5192167816062855
Ch38,0.5150769097337639
Ch49,0.5148763217182564
Ch39,0.5102486522439059
Ch37,0.509040771510409
Ch41,0.49439953486031923
Ch3,0.47510060693018147
Ch52,0.46955107110737987
Ch4,0.46777422418021164
Ch16,0.464220166264994
Ch44,0.46407338212303095
Ch33,0.46361415971046915
Ch48,0.46296606297738346
Ch14,0.445872103992126
Ch36,0.4441910153265304
Ch25,0.43696735406384146
Ch26,0.4346194010603636
Ch24,0.4239082523798408
Ch30,0.4114693865543852
Ch22,0.40468715895373814
Ch34,0.39905899209061935
Ch32,0.38399335109038385
Ch35,0.3719111069150305
Ch23,0.35294712673182305
